"YYYYMM","V822788"

2007M01,2782112
2007M02,2709432
2007M03,3096573
2007M04,2927899
2007M05,3147034
2007M06,3205181
2007M07,3014659
2007M08,3121583
2007M09,3037290
2007M10,3023864
2007M11,3099824
2007M12,3550478
2008M01,3028902
2008M02,2940449
2008M03,3162394
2008M04,3027540
2008M05,3422424
2008M06,3126154
2008M07,3284505
2008M08,3302910
2008M09,3083988
2008M10,3420906
2008M11,3297762
2008M12,3683202
2009M01,3552006
2009M02,3100387
2009M03,3315101
2009M04,3557330
2009M05,3642369
2009M06,3433083
2009M07,3626265
2009M08,3428671
2009M09,3382530
2009M10,3655119
2009M11,3287426
2009M12,3908253
2010M01,3519596
2010M02,3137699
2010M03,3448666
2010M04,3608360
2010M05,3655949
2010M06,3562929
2010M07,3848854
2010M08,3567509
2010M09,3627997
2010M10,3672637
2010M11,3507070
2010M12,4265132
2011M01,3469038
2011M02,3229818
2011M03,3596050
2011M04,3829463
2011M05,3584214
2011M06,3705365
2011M07,3891378
2011M08,3645197
2011M09,3759912
2011M10,3730701
2011M11,3618637
2011M12,4452427
2012M01,3492731
2012M02,3452616
2012M03,3902058
2012M04,3609021
2012M05,3919293
2012M06,3987984
2012M07,3771700
2012M08,3932328
2012M09,3830459
2012M10,3789798
2012M11,3842424
2012M12,4359879
2013M01,3671982
2013M02,3467989
2013M03,3941868
2013M04,3764921
2013M05,4103763
2013M06,3957227
2013M07,3885702
2013M08,4118790
2013M09,3716802
2013M10,4035983
2013M11,3997331
2013M12,4346528
2014M01,3891413
2014M02,3594478
2014M03,3917480
2014M04,4067836
2014M05,4244208
2014M06,3945555
2014M07,4134504
2014M08,4169484
2014M09,3937805
2014M10,4328547
2014M11,4101363
2014M12,4569995
2015M01,4223347
2015M02,3737103
2015M03,4036856
2015M04,4195334
2015M05,4471413
2015M06,4227515
2015M07,4442020
2015M08,4207102
2015M09,4175538
2015M10,4535040
2015M11,4114500
2015M12,4805043
2016M01,4255165
2016M02,3964556
2016M03,4374796
2016M04,4368262
2016M05,4309399
2016M06,4378021
2016M07,4433864
2016M08,4238053
2016M09,4103298
2016M10,4324460
2016M11,4353789
2016M12,5083421
